From	Entry	Reviewed	Entry Name	Length
P87231	P87231	reviewed	MUS81_SCHPO	608
E1JH25	E1JH25	reviewed	TEA_DROME	1876
P25046	P25046	reviewed	MED19_YEAST	220
P82186	P82186	reviewed	GUN_MYTED	181
P54783	P54783	reviewed	ALO_YEAST	526
P42380	P42380	reviewed	CLPP_CHLRE	524
A1ZA55	A1ZA55	reviewed	CGLR1_DROME	378
Q5PRF0	Q5PRF0	reviewed	HTR5A_MOUSE	2038
Q95T19	Q95T19	reviewed	SLIMP_DROME	464
Q9M7N6	Q9M7N6	reviewed	MAF1_SOLLC	152
Q5TDP6	Q5TDP6	reviewed	LGSN_HUMAN	509
O94488	O94488	reviewed	MBO1_SCHPO	1115
P25356	P25356	reviewed	BPH1_YEAST	2167
Q8BMB0	Q8BMB0	reviewed	EMSY_MOUSE	1264
P41247	P41247	reviewed	PLPL4_HUMAN	253
Q5TH74	Q5TH74	reviewed	STPG1_HUMAN	334
P38175	P38175	reviewed	RT21_YEAST	177
P53064	P53064	reviewed	RTF1_YEAST	558
Q5A0W9	Q5A0W9	reviewed	CZF1_CANAL	385
P27616	P27616	reviewed	PUR7_YEAST	306
Q94K71	Q94K71	reviewed	CBBY_ARATH	319
P90994	P90994	reviewed	DJ11_CAEEL	187
Q66H71	Q66H71	reviewed	CPPED_RAT	312
P70295	P70295	reviewed	AUP1_MOUSE	410
A0A286YEX9	A0A286YEX9	reviewed	SCGRX_HUMAN	47
P34118	P34118	reviewed	MVPA_DICDI	843
Q9ZW85	Q9ZW85	reviewed	LEUD3_ARATH	251
Q7SIF8	Q7SIF8	reviewed	FGF1_NOTVI	132
P54007	P54007	reviewed	YL460_YEAST	376
P36124	P36124	reviewed	SET3_YEAST	751
Q6P8M1	Q6P8M1	reviewed	TATD1_MOUSE	295
B3DHU2	B3DHU2	reviewed	TMM65_DANRE	212
Q9QWZ1	Q9QWZ1	reviewed	RAD1_MOUSE	280
Q04632	Q04632	reviewed	COG8_YEAST	607
Q95XP9	Q95XP9	reviewed	ZWILC_CAEEL	630
Q9GZL8	Q9GZL8	reviewed	BPEC1_HUMAN	116
Q9FYF9	Q9FYF9	reviewed	FB76_ARATH	379
Q9ZSJ2	Q9ZSJ2	reviewed	RGXT1_ARATH	361
Q91YY4	Q91YY4	reviewed	ATPF2_MOUSE	289
A6PWY4	A6PWY4	reviewed	WDR76_MOUSE	622
P07236	P07236	reviewed	SYTM_YEAST	462
Q04304	Q04304	reviewed	YMY0_YEAST	227
O64668	O64668	reviewed	PSNA_ARATH	453
Q494Q2	Q494Q2	reviewed	HPAT2_ARATH	358
Q9SLJ2	Q9SLJ2	reviewed	HRD11_ARATH	98
Q8BJ34	Q8BJ34	reviewed	MARF1_MOUSE	1730
D5K228	D5K228	reviewed	RTM3_ARATH	301
Q9D753	Q9D753	reviewed	EXOS8_MOUSE	276
Q9BQ48	Q9BQ48	reviewed	RM34_HUMAN	92
Q8WWW8	Q8WWW8	reviewed	GAB3_HUMAN	586
Q921M7	Q921M7	reviewed	CYRIB_MOUSE	324
Q8K4M5	Q8K4M5	reviewed	COMD1_MOUSE	188
Q9UJU6	Q9UJU6	reviewed	DBNL_HUMAN	430
Q8IL84	Q8IL84	reviewed	MCA2_PLAF7	2020
Q96RT6	Q96RT6	reviewed	CTGE2_HUMAN	745
Q6NMN6	Q6NMN6	reviewed	SPNS1_ARATH	492
P0CU09	P0CU09	reviewed	YIP12_SCHPO	235
Q5AG97	Q5AG97	reviewed	IFH1_CANAL	885
Q8IXZ2	Q8IXZ2	reviewed	ZC3H3_HUMAN	948
Q9LIK9	Q9LIK9	reviewed	APS1_ARATH	463
P32492	P32492	reviewed	MYO4_YEAST	1471
P22469	P22469	reviewed	Z600_DROME	90
C0HJX8	C0HJX8	reviewed	CEC_CALVI	39
